Ticker,Company Name,Asset Type,Exchange,Country,Sector,Industry,Market Cap (USD),Website,Primary Theme,Secondary Theme,Approval Date,Confidence,Next Review,Current Price,Trend Score,Momentum Score,Risk Rating,Opportunity Score,Signal,Allocation %,Analyst Notes
TSM,Taiwan Semiconductor Manufacturing,equity,NYSE,Taiwan,Technology,Semiconductors,700000000000,https://tsmc.com,Semiconductors,AI Infrastructure,2025-05-20,HIGH,2025-08-20,178.52,0.72,0.58,moderate,62.4,BUY,12,"World's largest foundry. >90% market share in advanced nodes (<7nm). AI training demand drives structural growth. Arizona fab reduces geopolitical concentration. Pricing power intact."
ASML,ASML Holding,equity,EURONEXT,Netherlands,Technology,Semiconductor Equipment,350000000000,https://asml.com,Semiconductors,,2025-05-20,HIGH,2025-08-20,924.30,0.61,0.45,moderate,55.8,BUY,10,"Sole manufacturer of EUV lithography machines. Monopoly position with 5-year order backlog. Every advanced chip requires ASML equipment. No competitor within a decade."
HLAL,Wahed FTSE USA Shariah ETF,etf,NASDAQ,US,Multi-Sector,Sharia-Compliant ETF,500000000,https://wahedinvest.com,Halal Finance,,2025-05-20,HIGH,2025-11-20,42.15,0.44,0.38,low,48.2,HOLD,15,"Core Sharia-compliant US equity exposure. Tracks FTSE USA Shariah Index. Low-cost diversification anchor. Pre-screened by Wahed. Expense ratio 0.50%."
SPUS,SP Funds S&P 500 Sharia ETF,etf,NYSE,US,Multi-Sector,Sharia-Compliant ETF,800000000,https://spfunds.com,Halal Finance,,2025-05-19,HIGH,2025-11-19,34.82,0.48,0.42,low,50.1,HOLD,8,"Sharia-compliant S&P 500 tracker. Broader than HLAL. Lower expense ratio (0.45%). Good complement for US large-cap exposure without stock-picking risk."
1211.HK,BYD Company,equity,HKEX,China,Consumer Discretionary,Electric Vehicles & Batteries,100000000000,https://byd.com,Battery Technology,Clean Energy,2025-05-18,MEDIUM,2025-08-18,293.80,0.35,0.29,elevated,41.6,HOLD,5,"Global #1 EV manufacturer by volume. Vertically integrated (batteries + chips + vehicles). Strong China domestic market. Geopolitical risk accepted at small position size."
AMD,Advanced Micro Devices,equity,NASDAQ,US,Technology,Semiconductors,200000000000,https://amd.com,Semiconductors,AI Infrastructure,2025-05-19,HIGH,2025-08-19,162.30,0.52,0.45,moderate,56.2,BUY,7,"CPU/GPU competitor gaining share from Intel. MI300 AI accelerator gaining traction with hyperscalers. Data centre revenue growing 80%+ YoY. No Israel operations."
AVGO,Broadcom Inc,equity,NASDAQ,US,Technology,Semiconductors,600000000000,https://broadcom.com,Semiconductors,AI Infrastructure,2025-05-19,HIGH,2025-08-19,178.50,0.58,0.50,moderate,57.8,BUY,7,"Custom AI chips (TPU for Google, ASIC for Meta). VMware acquisition adds enterprise software recurring revenue. Networking dominance (Memory/Ethernet for AI clusters)."
CRWD,CrowdStrike Holdings,equity,NASDAQ,US,Technology,Cybersecurity,75000000000,https://crowdstrike.com,Cybersecurity,AI Infrastructure,2025-05-19,HIGH,2025-08-19,355.20,0.62,0.52,moderate,58.2,BUY,7,"Cloud-native endpoint security leader. AI-driven threat detection (Charlotte AI). 97%+ gross retention rate. Non-discretionary spend grows regardless of economy."
PANW,Palo Alto Networks,equity,NASDAQ,US,Technology,Cybersecurity,115000000000,https://paloaltonetworks.com,Cybersecurity,,2025-05-19,HIGH,2025-08-19,185.60,0.52,0.44,moderate,54.5,BUY,5,"Network security platform consolidation leader. Prisma Cloud + Cortex XSIAM. Platformisation strategy drives cross-sell. Strong enterprise demand."
LLY,Eli Lilly and Company,equity,NYSE,US,Healthcare,Pharmaceuticals,750000000000,https://lilly.com,Healthcare,,2025-05-19,HIGH,2025-08-19,820.40,0.55,0.48,moderate,55.0,BUY,8,"GLP-1 leader (Mounjaro/Zepbound). Obesity market $100B+ TAM. Pipeline includes Alzheimer's (donanemab). Premium valuation justified by 20%+ revenue growth."
