Ticker,Company Name,Asset Type,Exchange,Country,Sector,Industry,Rejection Date,Triggered Flags,Rejection Reasons,Evidence Sources,Confidence,Override Possible,Re-Review Eligible,Re-Review Trigger,Reviewed By
NVDA,NVIDIA Corporation,equity,NASDAQ,US,Technology,Semiconductors,2025-05-20,Israel Exposure,"Israel exposure via Mellanox acquisition (2020, $6.9B). Mellanox operations continue as NVIDIA Israel with 3,000+ employees across R&D centres in Yokneam, Tel Aviv, and Ra'anana. Designs networking chips (ConnectX, BlueField) critical to AI infrastructure. This constitutes significant and material Israel operations.","NVIDIA 10-K 2024 (Geographic Revenue note), Mellanox acquisition press release (April 2020), NVIDIA Israel careers page (500+ open roles), LinkedIn data (3,200+ NVIDIA Israel employees), Glassdoor Israel office reviews",HIGH,No,No,"Full divestiture of all Israel operations including Mellanox IP and staff (extremely unlikely given strategic importance of networking to AI business)",Tahir
MSFT,Microsoft Corporation,equity,NASDAQ,US,Technology,Software,2025-05-20,Israel Exposure,"Significant Israel operations including: Microsoft Israel R&D centre (2,000+ employees), Azure data centre region in Israel, acquisition of multiple Israeli companies (Activision notwithstanding — Israeli gaming studios), Microsoft Ventures Israel investments. Material presence across cloud, AI, and security divisions.","Microsoft 10-K 2024, Microsoft Israel website, Azure region documentation, LinkedIn (2,500+ Microsoft Israel employees), Israeli tech press coverage of Microsoft Israel expansion",HIGH,No,No,"Full exit from Israel operations including Azure region shutdown and R&D centre closure (would require strategic reversal)",Tahir
INTC,Intel Corporation,equity,NASDAQ,US,Technology,Semiconductors,2025-05-20,Israel Exposure,"Intel Israel is the largest private sector employer in Israel with 12,000+ employees. Operates Fab 28 in Kiryat Gat (manufacturing). $25B investment in new Israel fab announced 2023. Intel Development Centre in Haifa is one of Intel's largest R&D sites globally. Israel operations are core to Intel's business — not peripheral.","Intel 10-K 2024, Intel Israel website, Israeli government investment announcements, Fab 28 production data, LinkedIn (12,000+ Intel Israel employees)",HIGH,No,No,"Complete exit from Israel manufacturing and R&D (impossible given $25B fab investment and 12,000 employees)",Tahir
SEDG,SolarEdge Technologies,equity,NASDAQ,Israel,Technology,Solar Inverters,2025-05-20,Israel Exposure,"Israel-headquartered company (Herzliya). Founded in Israel 2006. Primary R&D and corporate functions in Israel. Automatic rejection regardless of financial compliance — hard exclusion for Israel-headquartered companies.","SolarEdge 10-K 2024 (headquarters: Herzliya, Israel), Company registration, SEC filings listing Israel as principal office",HIGH,No,No,"Company would need to redomicile outside Israel (extremely unlikely for Israeli-founded company)",Tahir
CHKP,Check Point Software,equity,NASDAQ,Israel,Technology,Cybersecurity,2025-05-20,Israel Exposure,"Israel-headquartered cybersecurity company (Tel Aviv). Founded 1993 in Ramat Gan. One of Israel's largest tech companies. All core R&D in Israel. Automatic rejection for Israel-headquartered companies.","Check Point 20-F 2024 (headquarters: Tel Aviv, Israel), Company history, SEC filings",HIGH,No,No,"Redomiciliation outside Israel (not feasible — Israeli national champion company)",Tahir
CYBR,CyberArk Software,equity,NASDAQ,Israel,Technology,Identity Security,2025-05-20,Israel Exposure,"Israel-headquartered identity security company (Petah Tikva). Founded 1999 in Israel. Core R&D and engineering in Israel. Automatic rejection for Israel-headquartered companies.","CyberArk 20-F 2024 (headquarters: Petah Tikva, Israel), SEC filings, company website",HIGH,No,No,"Redomiciliation outside Israel (not feasible)",Tahir
LMT,Lockheed Martin,equity,NYSE,US,Industrials,Aerospace & Defence,2025-05-20,"Weapons Exposure, Israel Exposure","Primary weapons manufacturer. F-35 Joint Strike Fighter programme includes Israel as Tier 3 partner. Supplies missile systems, radar, and defence electronics to Israeli military. Dual exclusion: weapons manufacturing AND Israel defence contracts.","Lockheed Martin 10-K 2024, F-35 programme partner list, Israel MoD procurement records, Defence contract announcements",HIGH,No,No,"Exit from all weapons manufacturing AND all Israel contracts (impossible — weapons are core business)",Tahir
RTX,RTX Corporation (Raytheon),equity,NYSE,US,Industrials,Aerospace & Defence,2025-05-20,"Weapons Exposure, Israel Exposure","Missile systems manufacturer. Produces components for Israel's Iron Dome system. Supplies Patriot missiles, radar systems, and precision munitions. Significant Israel defence relationship. Dual exclusion: weapons AND Israel military supply.","RTX 10-K 2024, Iron Dome programme documentation, Israel defence procurement, US FMS (Foreign Military Sales) records",HIGH,No,No,"Exit from weapons manufacturing AND Israel supply chain (impossible — defence is core business)",Tahir
JPM,JPMorgan Chase,equity,NYSE,US,Financials,Banking,2025-05-20,Interest-Based Finance,"World's largest bank by assets. Core business model is interest-based lending (mortgages, corporate loans, credit cards). Net interest income was $89.3B in 2024 — representing 52% of total revenue. Fundamentally incompatible with Sharia principles.","JPM 10-K 2024 (Net Interest Income: $89.3B / Total Revenue: $171.5B = 52%), Annual Report income statement",HIGH,No,No,"JPMorgan would need to convert to Islamic banking model (not feasible for world's largest conventional bank)",Tahir
GS,Goldman Sachs,equity,NYSE,US,Financials,Investment Banking,2025-05-20,Interest-Based Finance,"Investment bank with significant interest-based revenue. Net interest income $6.5B in 2024. Additionally, trading revenue includes interest rate derivatives and fixed income speculation. Total interest-related revenue exceeds 30% of net revenues. Core business incompatible with Sharia principles.","GS 10-K 2024 (Net Interest Income + FICC trading revenue), Annual Report segment breakdown",HIGH,No,No,"Conversion to Islamic finance model (not feasible for global investment bank)",Tahir
DKNG,DraftKings,equity,NASDAQ,US,Consumer Discretionary,Online Gambling,2025-05-20,Gambling,"Core business is online sports betting and daily fantasy sports. 100% of revenue from gambling activities. Operates sportsbook in 20+ US states. iGaming (online casino) expanding. No non-gambling revenue streams of any significance.","DraftKings 10-K 2024 (Revenue: 100% from gaming/betting), Company description, State gaming licences",HIGH,No,No,"Complete exit from gambling business (company has no other business — would require dissolution)",Tahir
FLUT,Flutter Entertainment,equity,NYSE,Ireland,Consumer Discretionary,Online Gambling,2025-05-20,Gambling,"Global gambling conglomerate. Owns FanDuel (US), Paddy Power (UK/Ireland), Betfair, PokerStars, Sky Betting. All revenue from betting and gambling operations across 100+ markets. World's largest online gambling company by revenue.","Flutter 20-F 2024 (Revenue: 100% from gambling brands), Brand portfolio documentation",HIGH,No,No,"Divestiture of all gambling brands (company IS gambling — no other business exists)",Tahir
DEO,Diageo,equity,NYSE,UK,Consumer Staples,Alcoholic Beverages,2025-05-20,Alcohol,"World's largest spirits company. Owns Johnnie Walker, Guinness, Smirnoff, Tanqueray, Captain Morgan, Baileys. 100% of revenue from production and sale of alcoholic beverages. No non-alcohol business segments.","Diageo Annual Report 2024 (Revenue: 100% from alcoholic beverages), Brand portfolio, Segment reporting",HIGH,No,No,"Exit from alcohol production (company IS alcohol — no other business exists)",Tahir
WYNN,Wynn Resorts,equity,NASDAQ,US,Consumer Discretionary,Casinos & Resorts,2025-05-20,Gambling,"Casino resort operator. Wynn Las Vegas, Encore, Wynn Macau, Wynn Palace. Revenue primarily from casino gaming (table games, slots). Hotel and F&B revenue exists but is ancillary to gambling operations which drive >70% of revenue.","Wynn 10-K 2024 (Casino revenue: 72% of total), Segment reporting, Gaming licence documentation",HIGH,No,No,"Exit from casino operations (casinos are the core business and primary asset)",Tahir
MGM,MGM Resorts International,equity,NYSE,US,Consumer Discretionary,Casinos & Resorts,2025-05-20,Gambling,"Casino resort operator (Bellagio, MGM Grand, Mandalay Bay) plus BetMGM online sports betting joint venture. Casino gaming revenue >65% of total. BetMGM adds online gambling exposure. Dual gambling exposure (physical + digital).","MGM 10-K 2024 (Casino revenue: 67% of total), BetMGM financial disclosures, Gaming licences",HIGH,No,No,"Exit from all casino and online gambling operations (core business model)",Tahir
