Theme Name,Category,Icon,Status,Asset Count,Portfolio Weight %,Top Asset,Macro Drivers,Key Risks,Last Reviewed,Next Review,Analyst Notes
Semiconductors,technology,⚡,STRONG,5,36,"TSM","AI training demand explosion, automotive electrification, CHIPS Act reshoring, data centre buildout, smartphone refresh cycle","Cyclicality, Taiwan geopolitics, inventory corrections, customer concentration, China export controls",2025-05-20,2025-08-20,"AI supercycle driving structural demand. Inventory correction complete (Q4 2024). Leading-edge demand (3nm/2nm) outstripping supply. Theme is in strongest position in 3 years."
AI Infrastructure,technology,🧠,STRONG,4,21,"CRWD","Enterprise AI adoption accelerating, hyperscaler capex growing 40%+ YoY, model scaling laws require more compute, inference demand growing faster than training","Overinvestment risk, commoditisation of inference, energy constraints for data centres, regulatory uncertainty",2025-05-20,2025-08-20,"Hyperscaler capex guidance confirms multi-year buildout. Not just training — inference at scale requires massive infrastructure. Picks-and-shovels approach (chips + networking + security) preferred over application layer."
Halal Finance,finance,🕌,NEUTRAL,3,23,"HLAL","Growing Muslim middle class (1.8B+ population), institutional demand for Sharia-compliant products, regulatory support in GCC/Malaysia/Indonesia, ESG alignment","Limited product diversity, higher expense ratios vs conventional, tracking error, regulatory fragmentation across jurisdictions",2025-05-19,2025-11-19,"Core allocation anchor. ETFs provide broad diversified exposure with pre-screened compliance. Not a growth theme — a structural allocation requirement. Weight reflects portfolio foundation role."
Healthcare,healthcare,🧬,NEUTRAL,3,18,"LLY","Aging demographics globally, GLP-1 revolution ($100B+ TAM), gene therapy advances, AI drug discovery, emerging market healthcare access expansion","Drug pricing regulation (US), patent cliffs, clinical trial binary risk, reimbursement pressure, political risk in election years",2025-05-19,2025-08-19,"GLP-1 class (obesity/diabetes) is generational opportunity. LLY and NOVO-B are category leaders. JNJ provides defensive diversification. Theme is secular but individual stocks can be volatile."
Cybersecurity,technology,🔒,STRONG,2,12,"CRWD","Ransomware epidemic, regulatory compliance (GDPR/NIS2/SEC rules), cloud migration expanding attack surface, AI-powered threats, zero-trust adoption mandated","Vendor fatigue, commoditisation of point solutions, talent shortage, government-funded alternatives, platform consolidation reducing TAM for smaller players",2025-05-19,2025-08-19,"Non-discretionary spend. Grows regardless of economic conditions. Platform consolidation (CRWD, PANW) creates winners. Breach headlines are positive catalysts for leaders."
Battery Technology,technology,🔋,NEUTRAL,2,9,"1211.HK","EV adoption mandates (EU 2035, China NEV), grid storage requirements for renewables, raw material supply chain development, solid-state R&D progress","Lithium/cobalt price volatility, China supply chain concentration, overcapacity risk, technology disruption (solid-state timeline unclear)",2025-05-16,2025-08-16,"BYD and CATL are global leaders. Theme is structural but near-term headwinds from EV demand softness in Europe. China geopolitical risk applies to both holdings. Maintain moderate allocation."
Oil & Gas,energy,🛢️,NEUTRAL,3,17,"2222.SR","Supply discipline (OPEC+), underinvestment in new supply since 2015, petrochemical demand growth, energy security post-Ukraine, LNG demand from Asia","Demand destruction from EVs (long-term), carbon regulation, stranded asset risk, geopolitical supply disruption, ESG capital flight",2025-05-18,2025-11-18,"Cash flow generation theme, not growth. Aramco + ADNOC + XOM provide dividend income and portfolio stability. Oil demand peak is decades away. Supply underinvestment supports prices."
Islamic Banking,finance,🏦,NEUTRAL,2,9,"QISMUT","GCC economic diversification (Vision 2030), fintech innovation in Islamic finance, sukuk market growth, regulatory frameworks maturing, young demographics in Muslim markets","Oil price sensitivity, GCC concentration, regulatory differences across jurisdictions, competition from conventional banks offering Islamic windows",2025-05-19,2025-11-19,"Pure Sharia-compliant financial holdings. Zero interest-based revenue by charter. QIB and ADIB are well-capitalised with strong dividends. Provides GCC geographic diversification."
Clean Energy,energy,☀️,WEAK,2,7,"NEE","Net-zero commitments, declining solar/wind LCOE, grid modernisation, energy security framing, IRA/EU Green Deal subsidies, data centre power demand","Interest rate sensitivity (capital-intensive), policy reversal risk, grid integration challenges, supply chain bottlenecks, intermittency, overcapacity in solar manufacturing",2025-05-18,2025-08-18,"Theme is structurally sound but cyclically weak. High interest rates hurt capital-intensive projects. NEE (regulated utility) is defensive. CATL benefits from storage demand. Underweight until rate cycle turns."
Industrial Automation,industrial,⚙️,NEUTRAL,2,10,"ABB","Labour shortages in developed markets, reshoring/nearshoring trend, Industry 4.0 adoption, quality/safety requirements, wage inflation making automation ROI attractive","Capex cyclicality, integration complexity for SMEs, China competition in low-end automation, long sales cycles",2025-05-18,2025-08-18,"ABB and Fanuc are global leaders with decades of installed base. Secular theme (automation penetration <10% of addressable tasks). Defensive industrials with pricing power."
Robotics,industrial,🤖,NEUTRAL,1,4,"FANUY","AI-enabled perception breakthrough, labour shortages in logistics/agriculture, surgical robotics adoption, autonomous systems development","Technology maturity gaps, regulatory barriers for autonomous systems, high unit costs, customer ROI uncertainty, long adoption cycles",2025-05-17,2025-08-17,"Early-stage theme. Fanuc is established (factory robots) but next-gen robotics (humanoid, autonomous) is pre-revenue. Maintain small allocation via proven players only."
Energy Infrastructure,energy,🏗️,NEUTRAL,2,10,"NEE","Grid modernisation ($4T+ global investment needed), renewable interconnection, EV charging networks, data centre power demand, LNG terminal buildout","Regulatory/permitting delays, interest rate sensitivity, construction cost inflation, NIMBY opposition, long project timelines",2025-05-18,2025-11-18,"Bottleneck theme — energy transition cannot happen without grid buildout. NEE and Aramco both have infrastructure exposure. Regulated returns provide visibility. Patient capital required."
