Ticker,Company Name,Asset Type,Exchange,Country,Sector,Industry,Market Cap (USD),Website,Eligibility Status,Israel Exposure,Gambling Exposure,Alcohol Exposure,Interest-Based Finance,Weapons Exposure,Adult Industry,Prohibited Structure,Rejection Reasons,Review Notes,Confidence Level,Last Reviewed Date,Primary Theme,Secondary Theme,Additional Themes,Current Price,MA50,MA200,Trend Score,Momentum Score,Volatility Rating,Risk Rating,Suggested Action,Suggested Allocation %,Portfolio Notes
TSM,Taiwan Semiconductor Manufacturing,equity,NYSE,Taiwan,Technology,Semiconductors,700000000000,https://tsmc.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes all AAOIFI thresholds. No prohibited exposure identified.,HIGH,2025-05-20,Semiconductors,AI Infrastructure,,178.52,172.30,155.80,0.72,0.58,moderate,moderate,BUY,12,Leading foundry with secular AI demand tailwinds. Monopoly position in advanced nodes.
ASML,ASML Holding,equity,EURONEXT,Netherlands,Technology,Semiconductor Equipment,350000000000,https://asml.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes all thresholds. Dutch company with no prohibited exposure.,HIGH,2025-05-20,Semiconductors,,,924.30,895.40,812.60,0.61,0.45,moderate,moderate,BUY,10,EUV lithography monopoly. Essential to global chip supply chain.
HLAL,Wahed FTSE USA Shariah ETF,etf,NASDAQ,US,Multi-Sector,Sharia-Compliant ETF,500000000,https://wahedinvest.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Pre-screened Sharia-compliant ETF. Tracks FTSE USA Shariah Index.,HIGH,2025-05-20,Halal Finance,,,42.15,41.80,39.90,0.44,0.38,low,low,HOLD,15,Core Sharia-compliant US equity exposure. Low-cost diversification anchor.
1211.HK,BYD Company,equity,HKEX,China,Consumer Discretionary,Electric Vehicles & Batteries,100000000000,https://byd.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Passes AAOIFI thresholds. No Israel operations. Geopolitical risk noted.,MEDIUM,2025-05-18,Battery Technology,Clean Energy,,293.80,278.50,245.20,0.35,0.29,elevated,elevated,HOLD,8,Global EV leader. Battery vertical integration. Higher geopolitical risk from China exposure.
SPUS,SP Funds S&P 500 Sharia ETF,etf,NYSE,US,Multi-Sector,Sharia-Compliant ETF,800000000,https://spfunds.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Sharia-compliant S&P 500 tracker. Pre-screened by SP Funds.,HIGH,2025-05-19,Halal Finance,,,34.82,34.10,32.50,0.48,0.42,low,low,HOLD,12,Broad US equity exposure with Sharia compliance. Core holding.
ENPH,Enphase Energy,equity,NASDAQ,US,Technology,Solar Microinverters,18000000000,https://enphase.com,APPROVED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,,Clean energy company. No prohibited exposure. Passes financial ratios.,HIGH,2025-05-17,Clean Energy,Energy Infrastructure,,98.45,105.20,128.60,-0.22,-0.35,high,elevated,REDUCE,3,Solar microinverter leader but in downtrend. High volatility. Reduce exposure.
SEDG,SolarEdge Technologies,equity,NASDAQ,Israel,Technology,Solar Inverters,3500000000,https://solaredge.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Israel-headquartered company. Fails hard exclusion: flag_israel_exposure.,Israeli company. Automatic rejection regardless of financial compliance.,HIGH,2025-05-20,Clean Energy,,,22.80,,,,,,,Rejected: Israel-headquartered. Hard exclusion applies.
NVDA,NVIDIA Corporation,equity,NASDAQ,US,Technology,Semiconductors,3000000000000,https://nvidia.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Israel exposure via Mellanox acquisition (2020). Significant R&D operations in Israel.,Major Israel R&D presence. Mellanox Technologies fully integrated. Fails hard exclusion.,HIGH,2025-05-20,Semiconductors,AI Infrastructure,,135.40,,,,,,,Rejected: Israel exposure through Mellanox acquisition and R&D centres.
MSFT,Microsoft Corporation,equity,NASDAQ,US,Technology,Software,3100000000000,https://microsoft.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Significant Israel operations including Azure data centres and R&D facilities.,Multiple Israel-based subsidiaries and development centres. Fails hard exclusion.,HIGH,2025-05-20,AI Infrastructure,Cybersecurity,,425.20,,,,,,,Rejected: Extensive Israel operations across Azure and R&D.
INTC,Intel Corporation,equity,NASDAQ,US,Technology,Semiconductors,120000000000,https://intel.com,REJECTED,FLAGGED,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Major Israel operations. Intel Israel is largest private employer in Israel. Fab facilities in Kiryat Gat.,Intel Israel employs 12000+ staff. $25B fab investment in Israel. Fails hard exclusion.,HIGH,2025-05-20,Semiconductors,,,21.50,,,,,,,Rejected: Intel Israel is largest private sector employer. Major fab operations.
