Ticker,Company Name,Signal,Target Allocation %,Actual Allocation %,Drift %,Entry Price,Current Price,Return %,Theme,Risk Rating,Date Added,Last Rebalanced,Confidence,Notes
TSM,Taiwan Semiconductor,BUY,12,12.8,+0.8,165.20,178.52,+8.1,Semiconductors,moderate,2025-03-15,2025-05-01,HIGH,"Core holding. Thesis intact. AI demand accelerating. Arizona fab on track."
ASML,ASML Holding,BUY,10,9.6,-0.4,878.50,924.30,+5.2,Semiconductors,moderate,2025-03-15,2025-05-01,HIGH,"EUV monopoly. Order backlog provides multi-year visibility. Hold full position."
HLAL,Wahed FTSE USA Shariah ETF,HOLD,15,14.8,-0.2,40.75,42.15,+3.4,Halal Finance,low,2025-01-10,2025-05-01,HIGH,"Core Sharia-compliant anchor. Provides broad US equity exposure. Low maintenance."
LLY,Eli Lilly,BUY,8,8.5,+0.5,730.00,820.40,+12.3,Healthcare,moderate,2025-02-20,2025-05-01,HIGH,"GLP-1 thesis playing out. Mounjaro/Zepbound demand exceeding supply. Strong pipeline."
CRWD,CrowdStrike,BUY,7,7.2,+0.2,322.80,355.20,+9.8,Cybersecurity,moderate,2025-03-01,2025-05-01,HIGH,"Endpoint security leader. Charlotte AI driving upsell. 97% gross retention."
AMD,Advanced Micro Devices,BUY,7,6.8,-0.2,155.40,162.30,+4.4,Semiconductors,moderate,2025-04-01,2025-05-01,HIGH,"MI300 AI accelerator gaining traction. Data centre revenue inflecting."
AVGO,Broadcom,BUY,7,7.1,+0.1,168.20,178.50,+6.1,Semiconductors,moderate,2025-04-01,2025-05-01,HIGH,"Custom AI chips for Google/Meta. VMware integration on track."
ABB,ABB Ltd,HOLD,6,5.8,-0.2,50.60,52.80,+4.3,Industrial Automation,low,2025-03-15,2025-05-01,HIGH,"Defensive industrial. Automation secular trend. Swiss quality."
2222.SR,Saudi Aramco,HOLD,8,7.9,-0.1,8.02,8.25,+2.9,Oil & Gas,low,2025-02-01,2025-05-01,HIGH,"Dividend anchor. Energy security. Lowest cost producer globally."
SPUS,SP Funds S&P 500 Sharia,HOLD,8,7.8,-0.2,33.50,34.82,+3.9,Halal Finance,low,2025-01-10,2025-05-01,HIGH,"Broad Sharia-compliant US exposure. Complement to HLAL."
NOVO-B,Novo Nordisk,HOLD,5,4.8,-0.2,137.00,128.50,-6.2,Healthcare,moderate,2025-02-20,2025-05-01,HIGH,"In correction. GLP-1 thesis intact. Supply constraints easing. Hold through."
PANW,Palo Alto Networks,BUY,5,5.1,+0.1,180.40,185.60,+2.9,Cybersecurity,moderate,2025-04-15,2025-05-01,HIGH,"Platform consolidation strategy. Strong enterprise pipeline."
CASH,Cash Reserve,—,24,24.0,0.0,—,—,—,—,—,—,—,—,"Regime-appropriate reserve (Weak Bull target: 20%). Slight overweight for opportunity deployment."
