Log ID,Timestamp,Action Type,Asset,Actor,Previous State,New State,Rationale,Confidence,Review Type
001,2025-01-10 09:00,PORTFOLIO_REVIEW,—,Tahir,—,—,"Initial portfolio construction. Establishing core positions in Halal Finance ETFs (HLAL + SPUS) as foundation. Setting 30% cash reserve (Sideways regime).",HIGH,SCHEDULED
002,2025-01-10 09:30,ALLOCATION_CHANGE,HLAL,Tahir,0%,12%,"Initiating core Sharia-compliant US equity position. HLAL provides broad diversified exposure with pre-screened compliance.",HIGH,AD_HOC
003,2025-01-10 09:35,ALLOCATION_CHANGE,SPUS,Tahir,0%,8%,"Adding S&P 500 Sharia tracker as complement to HLAL. Broader index exposure.",HIGH,AD_HOC
004,2025-02-01 10:00,ELIGIBILITY_DECISION,2222.SR,Tahir,(new),APPROVED,"All 7 flags CLEAR. Saudi Aramco is Sharia-compliant by structure. No prohibited exposure. Lowest-cost oil producer. Dividend anchor.",HIGH,SCHEDULED
005,2025-02-01 10:30,THESIS_CREATED,2222.SR,Tahir,—,ACTIVE,"Created thesis 2222SR-2025-Q1: World's lowest-cost producer providing dividend income and energy security.",HIGH,AD_HOC
006,2025-02-01 11:00,ALLOCATION_CHANGE,2222.SR,Tahir,0%,8%,"Initiating energy security position. 4%+ dividend yield. Defensive holding.",HIGH,AD_HOC
007,2025-02-20 09:00,ELIGIBILITY_DECISION,LLY,Tahir,(new),APPROVED,"All flags CLEAR. Pharmaceutical company. No prohibited exposure. Conservative balance sheet. Passes all AAOIFI ratios.",HIGH,SCHEDULED
008,2025-02-20 09:30,ELIGIBILITY_DECISION,NOVO-B,Tahir,(new),APPROVED,"All flags CLEAR. Danish pharma. No Israel operations. No prohibited exposure. Passes ratios.",HIGH,SCHEDULED
009,2025-02-20 10:00,THESIS_CREATED,LLY,Tahir,—,ACTIVE,"Created thesis LLY-2025-Q1: GLP-1 category leader with $100B+ obesity TAM.",HIGH,AD_HOC
010,2025-02-20 10:30,ALLOCATION_CHANGE,LLY,Tahir,0%,8%,"Initiating healthcare growth position. GLP-1 thesis. Strong pipeline.",HIGH,AD_HOC
011,2025-02-20 10:35,ALLOCATION_CHANGE,NOVO-B,Tahir,0%,5%,"Adding GLP-1 diversification. Ozempic/Wegovy leader. Smaller position due to correction risk.",HIGH,AD_HOC
012,2025-03-01 09:00,ELIGIBILITY_DECISION,CRWD,Tahir,(new),APPROVED,"All flags CLEAR. US cybersecurity SaaS. No Israel operations. No prohibited exposure. Debt/assets 22%. Clean.",HIGH,SCHEDULED
013,2025-03-01 09:30,THESIS_CREATED,CRWD,Tahir,—,ACTIVE,"Created thesis CRWD-2025-Q1: Cloud-native endpoint security leader with AI-driven platform.",HIGH,AD_HOC
014,2025-03-01 10:00,ALLOCATION_CHANGE,CRWD,Tahir,0%,7%,"Initiating cybersecurity position. Non-discretionary spend. Platform consolidation winner.",HIGH,AD_HOC
015,2025-03-15 09:00,ELIGIBILITY_DECISION,TSM,Tahir,(new),APPROVED,"All flags CLEAR. Taiwan company. No Israel operations. Passes all AAOIFI ratios (debt/assets 28%). Foundry model is asset-heavy (compliant).",HIGH,SCHEDULED
